metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.80162,0.82848,0.88922,0.62339,0.01719,9.42523,1.2742,1,1770203267,,False,1,b0787_00000,2026-02-04_11-07-47,19.266446590423584,19.266446590423584,1423,docker-desktop,192.168.65.3,19.266446590423584,1
0.79858,0.83232,0.88913,0.61391,0.01704,9.42452,1.26388,2,1770203268,,False,2,b0787_00000,2026-02-04_11-07-48,0.7180352210998535,19.984481811523438,1423,docker-desktop,192.168.65.3,19.984481811523438,2
0.84298,0.74669,0.87559,0.62848,0.01729,9.46373,1.27075,3,1770203269,,False,3,b0787_00000,2026-02-04_11-07-49,0.4211239814758301,20.405605792999268,1423,docker-desktop,192.168.65.3,20.405605792999268,3
0.81096,0.74951,0.87587,0.61889,0.0178,9.64255,1.29084,4,1770203269,,False,4,b0787_00000,2026-02-04_11-07-49,0.38896751403808594,20.794573307037354,1423,docker-desktop,192.168.65.3,20.794573307037354,4
0.72579,0.75,0.87317,0.61677,0.01758,9.6581,1.28041,5,1770203269,,False,5,b0787_00000,2026-02-04_11-07-49,0.3921208381652832,21.186694145202637,1423,docker-desktop,192.168.65.3,21.186694145202637,5
0.68951,0.75,0.87695,0.61453,0.0179,9.84268,1.29244,6,1770203270,,False,6,b0787_00000,2026-02-04_11-07-50,0.3378410339355469,21.524535179138184,1423,docker-desktop,192.168.65.3,21.524535179138184,6
0.66768,0.75,0.87417,0.61455,0.01801,10.16588,1.30022,7,1770203270,,False,7,b0787_00000,2026-02-04_11-07-50,0.37076759338378906,21.895302772521973,1423,docker-desktop,192.168.65.3,21.895302772521973,7
0.61865,0.75,0.88834,0.61122,0.0178,10.11481,1.29484,8,1770203271,,False,8,b0787_00000,2026-02-04_11-07-51,0.6080002784729004,22.503303050994873,1423,docker-desktop,192.168.65.3,22.503303050994873,8
0.61865,0.75,0.88834,0.61122,0.0178,10.11481,1.29484,9,1770203271,,False,9,b0787_00000,2026-02-04_11-07-51,0.34835267066955566,22.85165572166443,1423,docker-desktop,192.168.65.3,22.85165572166443,9
0.8935,0.55,0.75132,0.54824,0.01816,10.70958,1.30326,10,1770203272,,False,10,b0787_00000,2026-02-04_11-07-52,0.5761303901672363,23.427786111831665,1423,docker-desktop,192.168.65.3,23.427786111831665,10
0.8935,0.55,0.75132,0.54824,0.01816,10.70958,1.30326,11,1770203272,,False,11,b0787_00000,2026-02-04_11-07-52,0.576533317565918,24.004319429397583,1423,docker-desktop,192.168.65.3,24.004319429397583,11
0.88488,0.56171,0.70964,0.55289,0.0187,11.16001,1.32099,12,1770203273,,False,12,b0787_00000,2026-02-04_11-07-53,0.5574588775634766,24.56177830696106,1423,docker-desktop,192.168.65.3,24.56177830696106,12
0.88488,0.56171,0.70964,0.55289,0.0187,11.16001,1.32099,13,1770203273,,False,13,b0787_00000,2026-02-04_11-07-53,0.4465184211730957,25.008296728134155,1423,docker-desktop,192.168.65.3,25.008296728134155,13
0.87355,0.564,0.64338,0.51132,0.01935,12.13339,1.36202,14,1770203274,,False,14,b0787_00000,2026-02-04_11-07-54,0.45563483238220215,25.463931560516357,1423,docker-desktop,192.168.65.3,25.463931560516357,14
0.87355,0.564,0.64338,0.51132,0.01935,12.13339,1.36202,15,1770203274,,False,15,b0787_00000,2026-02-04_11-07-54,0.43521976470947266,25.89915132522583,1423,docker-desktop,192.168.65.3,25.89915132522583,15
0.89583,0.54322,0.6311,0.52426,0.01933,12.34544,1.35536,16,1770203275,,False,16,b0787_00000,2026-02-04_11-07-55,0.4477057456970215,26.34685707092285,1423,docker-desktop,192.168.65.3,26.34685707092285,16
0.89583,0.54322,0.6311,0.52426,0.01933,12.34544,1.35536,17,1770203275,,False,17,b0787_00000,2026-02-04_11-07-55,0.4315493106842041,26.778406381607056,1423,docker-desktop,192.168.65.3,26.778406381607056,17
0.89738,0.54402,0.6311,0.49862,0.01915,12.47893,1.36754,18,1770203275,,False,18,b0787_00000,2026-02-04_11-07-55,0.46658754348754883,27.244993925094604,1423,docker-desktop,192.168.65.3,27.244993925094604,18
0.89738,0.54402,0.6311,0.49862,0.01915,12.47893,1.36754,19,1770203276,,False,19,b0787_00000,2026-02-04_11-07-56,0.4065210819244385,27.651515007019043,1423,docker-desktop,192.168.65.3,27.651515007019043,19
0.89648,0.54722,0.5882,0.48301,0.01927,13.01732,1.37899,20,1770203276,,False,20,b0787_00000,2026-02-04_11-07-56,0.45354175567626953,28.105056762695312,1423,docker-desktop,192.168.65.3,28.105056762695312,20
0.89648,0.54722,0.5882,0.48301,0.01927,13.01732,1.37899,21,1770203277,,False,21,b0787_00000,2026-02-04_11-07-57,0.41279172897338867,28.5178484916687,1423,docker-desktop,192.168.65.3,28.5178484916687,21
0.8387,0.55,0.57651,0.45768,0.01909,13.38827,1.38097,22,1770203277,,False,22,b0787_00000,2026-02-04_11-07-57,0.451871395111084,28.969719886779785,1423,docker-desktop,192.168.65.3,28.969719886779785,22
