epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.7912,0.02495,4.38695,2.7246,0.81155,0.83246,0.88898,0.6324,0.01618,1.14407,1.28374,0,0,0
2,5.53539,0.03049,4.17057,2.73959,0.76639,0.83333,0.88904,0.61874,0.01633,1.12469,1.27907,1.18854e-06,1.18854e-06,1.18854e-06
3,6.33648,0.02497,3.53654,2.48372,0.83439,0.74962,0.88928,0.62921,0.01636,1.13539,1.27602,2.37414e-06,2.37414e-06,2.37414e-06
4,6.73928,0.02997,5.1158,2.96599,0.8225,0.75,0.88907,0.62761,0.01643,1.15011,1.26934,3.55682e-06,3.55682e-06,3.55682e-06
5,7.1919,0.02933,2.87869,2.8292,0.83271,0.74918,0.8892,0.62821,0.01671,1.17552,1.28746,4.73656e-06,4.73656e-06,4.73656e-06
6,7.86253,0.01932,2.9893,2.04084,0.8352,0.74952,0.8892,0.60745,0.0168,1.18985,1.29448,5.91338e-06,5.91338e-06,5.91338e-06
7,8.53306,0.02365,4.41038,2.61843,0.81519,0.75,0.88936,0.6198,0.0168,1.20925,1.29865,7.08727e-06,7.08727e-06,7.08727e-06
8,9.21604,0.02236,4.12226,2.19666,0.79003,0.75,0.88952,0.61863,0.01703,1.21488,1.30475,8.25823e-06,8.25823e-06,8.25823e-06
9,9.7056,0.02403,3.97746,2.33221,0.79003,0.75,0.88952,0.61863,0.01703,1.21488,1.30475,9.42626e-06,9.42626e-06,9.42626e-06
10,10.2506,0.02267,3.83678,2.13486,0.72471,0.75,0.87343,0.6054,0.01711,1.25556,1.30715,1.05914e-05,1.05914e-05,1.05914e-05
11,10.7212,0.02453,3.28654,2.12527,0.72471,0.75,0.87343,0.6054,0.01711,1.25556,1.30715,1.17535e-05,1.17535e-05,1.17535e-05
12,11.2102,0.03113,3.84761,3.23076,0.6751,0.75,0.83737,0.59752,0.01737,1.28613,1.3273,1.29128e-05,1.29128e-05,1.29128e-05
13,11.6982,0.01627,4.40213,1.48366,0.6751,0.75,0.83737,0.59752,0.01737,1.28613,1.3273,1.40691e-05,1.40691e-05,1.40691e-05
14,12.2263,0.02119,2.63964,2.08094,0.64586,0.75,0.83532,0.59704,0.01738,1.36365,1.32133,1.52225e-05,1.52225e-05,1.52225e-05
15,12.6791,0.02657,3.87507,2.68108,0.64586,0.75,0.83532,0.59704,0.01738,1.36365,1.32133,1.63729e-05,1.63729e-05,1.63729e-05
16,13.1574,0.02797,4.15483,2.93244,0.71401,0.75,0.75257,0.58875,0.01773,1.39271,1.33795,1.75204e-05,1.75204e-05,1.75204e-05
17,13.5831,0.03623,4.20929,3.31137,0.71401,0.75,0.75257,0.58875,0.01773,1.39271,1.33795,1.8665e-05,1.8665e-05,1.8665e-05
